	pubchem_id	SuperSweetDB_ID	BitterDB_ID	FoodDB_ID	FlavorNet_ID	FlavorDB_ID	Natural	Unknown_Natural	Synthetic
273	54600550	30994				0	0	0	1
274	3018771					1	1	1	0
275	73188638	29441				0	0	0	1
276	5319865	27890				0	0	0	1
277	22803479	31137				0	0	0	1
278	92209390	33412				0	0	0	1
279	44366612	32327				0	0	0	1
280	16395756	26353				0	0	0	1
281	46782906	22658				0	0	0	1
282	102077710	24563				0	0	0	1
283	24778181	8465				0	0	0	0
284	10601181	28078				0	0	0	1
285	69964214	29342				0	0	0	1
286	101561237	25083				0	0	0	1
287	59146659	22844				0	0	0	1
288	44259248	28945				0	0	0	1
289	87300281	32960				0	0	0	1
290	7020240	10431				0	0	0	0
291	5704576	27944				0	0	0	1
292	18306526	5362				0	0	0	0
293	16066605	4382				0	0	0	0
294	89022425	24903				0	0	0	1
295	59446258	27733				0	0	0	1
296	927	31461				0	0	0	1
297	16728280	4544				0	0	0	0
298	28125550	8927				0	0	0	0
299	69137572	22582				0	0	0	1
300	26176674	8793				0	0	0	0
301	5318645	27331				0	0	0	1
302	40494137	9230				0	0	0	0
303	21320996	6986				0	0	0	0
304	21680748	7262				0	0	0	0
305	46877329	30797				0	0	0	1
306	101992127	22001				0	0	0	1
307	71317000	23946				0	0	0	1
308	89905968	24784				0	0	0	1
309	53496643	29235				0	0	0	1
310	45006120	9883				0	0	0	0
311	44258384	28805				0	0	0	1
312	68340059	20972				0	0	0	1
313	11957111	3788				0	0	0	0
