entity_id,category,category_readable,entity_alias,entity_alias_basket,entity_alias_readable,entity_alias_synonyms,entity_alias_url,natural_source_name,natural_source_url
473,cerealcrop-cereal,Cereal,,,Hard wheat,"Durum wheat, Pasta wheat, Macaroni wheat",https://en.wikipedia.org/wiki/Hard_wheat,Triticum durum,https://en.wikipedia.org/wiki/Durum
474,cerealcrop-cereal,Cereal,,,Triticale,Triticale,https://en.wikipedia.org/wiki/Triticale,Triticosecale,https://en.wikipedia.org/wiki/Triticale
475,vegetable-cabbage,Cabbage,,,Komatsuna,"Japanese mustard spinach, Mustard Spinach",https://en.wikipedia.org/wiki/Komatsuna,Brassica rapa,https://en.wikipedia.org/wiki/Brassica_rapa
476,vegetable-cabbage,Cabbage,,,Pak choy,Bok choy,https://en.wikipedia.org/wiki/Pak_choy,Brassica rapa,https://en.wikipedia.org/wiki/Brassica_rapa
477,fruit-berry,Berry,,,Jostaberry,Jostaberry,https://en.wikipedia.org/wiki/Jostaberry,Ribes,https://en.wikipedia.org/wiki/Ribes
478,vegetable-cabbage,Cabbage,,,Kai lan,"Chinese broccoli, Chinese kale",https://en.wikipedia.org/wiki/Kai-lan,Brassica oleracea,https://en.wikipedia.org/wiki/Brassica_oleracea
480,herb,Herb,,,Pineappple sage,tangerine sage,https://en.wikipedia.org/wiki/Salvia_elegans,Salvia,https://en.wikipedia.org/wiki/Salvia
481,fruit,Fruit,,,Skunk currant,Skunk currant,https://en.wikipedia.org/wiki/Ribes_glandulosum,Ribes,https://en.wikipedia.org/wiki/Ribes
482,cerealcrop-cereal,Cereal,,,Breakfast cereal,Breakfast cereal,https://en.wikipedia.org/wiki/Breakfast_cereal,Wheat,https://en.wikipedia.org/wiki/Wheat
484,bakery,Bakery,,,Pasta,Pasta,https://en.wikipedia.org/wiki/Pasta,Durum,https://en.wikipedia.org/wiki/Durum
485,bakery,Bakery,,,Biscuit,Biscuit,https://en.wikipedia.org/wiki/Biscuit,,
486,cerealcrop-cereal,Cereal,,,Sourdough,Sourdough,https://en.wikipedia.org/wiki/Sourdough,,
487,beverage-alcoholic,Beverage Alcoholic,,,Spirit," Distilled beverage, Spirit, Liquor, Hard liquor, Hard alcohol",https://en.wikipedia.org/wiki/Distilled_beverage,Plant,https://en.wikipedia.org/wiki/Plant
488,beverage-alcoholic,Beverage Alcoholic,,,Beverage alcolohic other,Beverage alcolohic other,https://en.wikipedia.org/wiki/Alcoholic_beverage,,
489,fungus,Fungus,,,Abalone,"Ear shells, Sea ears, Muttonfish, Muttonshells, Ormer, Perlemoen",https://en.wikipedia.org/wiki/Abalone,Haliotis,https://en.wikipedia.org/wiki/Haliotis
490,plant,Plant,,,Abiyuch," sacred garlic pear, temple plant",https://en.wikipedia.org/wiki/Crateva_religiosa,Crateva,https://en.wikipedia.org/wiki/Crateva
491,fruit-berry,Berry,,,Acerola,"Barbados cherry, West Indian cherry, Wild crepe myrtle, Seriz",https://en.wikipedia.org/wiki/Malpighia_emarginata,Malpighia,https://en.wikipedia.org/wiki/Malpighia
492,nutseed-nut,Nut,,,Acorn, oak nut,https://en.wikipedia.org/wiki/Acorn,Fagaceae,https://en.wikipedia.org/wiki/Fagaceae
493,fruit,Fruit,,,Winter squash,Winter squash,https://en.wikipedia.org/wiki/Winter_squash,Cucurbita,https://en.wikipedia.org/wiki/Cucurbita
494,additive,Additive,,,Agar,agar-agar,https://en.wikipedia.org/wiki/Agar,Algae,https://en.wikipedia.org/wiki/Algae
495,fishseafood-fish,Seafood,,,Red king crab,"Paralithodes camtschaticus, Kamchatka crab, Alaskan king crab",https://en.wikipedia.org/wiki/Paralithodes_camtschaticus,King crab,https://en.wikipedia.org/wiki/King_crab
496,herb,Herb,,,Alfalfa, lucerne,https://en.wikipedia.org/wiki/Alfalfa,Medicago,https://en.wikipedia.org/wiki/Medicago
497,herb,Herb,,,Amaranth,Amaranthus,https://en.wikipedia.org/wiki/Amaranth,Amaranthus,https://en.wikipedia.org/wiki/Amaranth
498,vegetable-tuber,Vegetable Tuber,,,Arrowhead,"Broadleaf arrowhead, Duck-potato, Indian potato, Wapato",https://en.wikipedia.org/wiki/Sagittaria_latifolia,Sagittaria,https://en.wikipedia.org/wiki/Sagittaria
